t_wall,t_rel,label,q1_cmd,q2_cmd,q1,q2,dq1,dq2,tau1,tau2,px,py,pz,qx,qy,qz,qw,vx,vy,vz,wx,wy,wz
0.000000,0.000000,step,0.000000,0.000000,-0.006776,-0.002554,-0.000024,0.000000,0.677696,0.255426,0.800509,-0.974649,-7.556049,-0.404388,-0.120720,-0.839327,0.342675,-0.246253,0.054830,-0.303727,-0.091049,0.008909,-0.076932
0.020000,0.020000,step,0.000122,0.000000,-0.006751,-0.002567,0.000578,0.000000,0.686215,0.256503,0.799839,-0.976088,-7.563788,-0.404530,-0.120242,-0.839738,0.341669,-0.246255,0.054820,-0.303727,-0.090952,0.008911,-0.077367
0.040000,0.040000,step,0.000946,0.000000,-0.006537,-0.002628,0.010444,0.000000,0.723826,0.262593,0.799164,-0.977524,-7.571529,-0.404659,-0.119799,-0.840166,0.340618,-0.246279,0.054691,-0.303731,-0.089348,0.008943,-0.084527
0.060000,0.060000,step,0.003095,0.000000,-0.005784,-0.002765,0.041979,0.000000,0.789084,0.276338,0.798480,-0.978950,-7.579270,-0.404751,-0.119465,-0.840650,0.339429,-0.246363,0.054236,-0.303745,-0.084194,0.009036,-0.107325
0.080000,0.080000,step,0.007108,0.000000,-0.003879,-0.002997,0.105056,0.000000,0.844133,0.300901,0.797780,-0.980360,-7.587012,-0.404763,-0.119367,-0.841257,0.337942,-0.246548,0.053176,-0.303781,-0.073748,0.009199,-0.152541
0.100000,0.100000,step,0.013446,0.000000,-0.000232,-0.003277,0.194994,0.000000,0.882277,0.331833,0.797055,-0.981742,-7.594750,-0.404649,-0.119637,-0.842053,0.335994,-0.246850,0.051322,-0.303849,-0.058424,0.009415,-0.216043
0.120000,0.120000,step,0.022492,0.000000,0.005647,-0.003575,0.301408,0.009879,0.906835,0.365644,0.796299,-0.983087,-7.602491,-0.404372,-0.120383,-0.843085,0.333465,-0.247265,0.048535,-0.303959,-0.038697,0.009753,-0.293048
0.140000,0.140000,step,0.034558,0.000000,0.014154,-0.003880,0.423515,0.021612,0.928914,0.389552,0.795500,-0.984384,-7.610233,-0.403896,-0.121691,-0.844382,0.330270,-0.247765,0.044691,-0.304119,-0.014452,0.010390,-0.379034
0.160000,0.160000,step,0.049887,0.000000,0.025592,-0.004193,0.557674,0.034566,0.955818,0.399113,0.794651,-0.985622,-7.617972,-0.403190,-0.123631,-0.845955,0.326363,-0.248305,0.039696,-0.304339,0.014543,0.011630,-0.470125
0.180000,0.180000,step,0.068655,0.000000,0.040192,-0.004516,0.700604,0.048229,0.985076,0.407800,0.793740,-0.986789,-7.625710,-0.402221,-0.126252,-0.847803,0.321727,-0.248814,0.033486,-0.304623,0.048302,0.013908,-0.562970
0.200000,0.200000,step,0.090981,0.000000,0.058110,-0.004844,0.850272,0.060319,1.018286,0.420805,0.792757,-0.987876,-7.633450,-0.400954,-0.129592,-0.849912,0.316372,-0.249202,0.026021,-0.304974,0.086689,0.017788,-0.654730
0.220000,0.220000,step,0.116921,0.000000,0.079437,-0.005162,1.004667,0.069133,1.057196,0.442225,0.791692,-0.988873,-7.641186,-0.399353,-0.133674,-0.852259,0.310328,-0.249360,0.017285,-0.305391,0.129401,0.023940,-0.743104
0.240000,0.240000,step,0.146479,0.000000,0.104215,-0.005460,1.162404,0.073464,1.103230,0.472554,0.790532,-0.989771,-7.648914,-0.397377,-0.138504,-0.854816,0.303641,-0.249167,0.007290,-0.305871,0.175967,0.033130,-0.826810
0.260000,0.260000,step,0.179609,0.000000,0.132454,-0.005737,1.325509,0.065953,1.156007,0.510746,0.789266,-0.990561,-7.656634,-0.394983,-0.144079,-0.857554,0.296363,-0.248488,-0.003939,-0.306407,0.225761,0.046185,-0.905082
0.280000,0.280000,step,0.216217,0.000000,0.164121,-0.006001,1.487745,0.054771,1.214906,0.556425,0.787883,-0.991238,-7.664348,-0.392124,-0.150380,-0.860443,0.288551,-0.247188,-0.016320,-0.306985,0.277565,0.063860,-0.977156
0.300000,0.300000,step,0.256166,0.000000,0.199141,-0.006254,1.647147,0.040161,1.279005,0.609469,0.786373,-0.991796,-7.672045,-0.388753,-0.157374,-0.863455,0.280269,-0.245131,-0.029731,-0.307592,0.330141,0.086830,-1.042664
0.320000,0.320000,step,0.299279,0.000000,0.237399,-0.006488,1.802287,0.022250,1.346517,0.668072,0.784727,-0.992234,-7.679726,-0.384821,-0.165014,-0.866563,0.271573,-0.242191,-0.044027,-0.308211,0.382246,0.115635,-1.101669
0.340000,0.340000,step,0.345342,0.000000,0.278750,-0.006694,1.951536,0.001311,1.417513,0.726417,0.782936,-0.992553,-7.687387,-0.380279,-0.173243,-0.869745,0.262522,-0.238252,-0.059032,-0.308828,0.432574,0.150597,-1.154167
0.360000,0.360000,step,0.394109,0.000000,0.323014,-0.006862,2.082321,0.000004,1.508950,0.745379,0.780993,-0.992754,-7.695023,-0.375082,-0.181990,-0.872982,0.253170,-0.233228,-0.074528,-0.309430,0.479601,0.191688,-1.200448
0.380000,0.380000,step,0.445307,0.000000,0.369987,-0.006980,2.202376,0.000003,1.598760,0.758880,0.778894,-0.992844,-7.702632,-0.369188,-0.191177,-0.876256,0.243570,-0.227043,-0.090308,-0.310005,0.522377,0.238743,-1.240329
0.400000,0.400000,step,0.498635,0.000000,0.419438,-0.007053,2.310854,0.000004,1.684511,0.767142,0.776633,-0.992830,-7.710211,-0.362564,-0.200717,-0.879551,0.233773,-0.219655,-0.106136,-0.310550,0.559845,0.291212,-1.273636
0.420000,0.420000,step,0.553770,0.000000,0.471101,-0.007081,2.406756,0.000005,1.763816,0.770566,0.774211,-0.992723,-7.717756,-0.355185,-0.210514,-0.882852,0.223830,-0.211057,-0.121769,-0.311066,0.591146,0.348242,-1.300505
0.440000,0.440000,step,0.610374,0.000000,0.524513,-0.007036,2.488417,0.000005,1.874178,0.765717,0.771630,-0.992536,-7.725266,-0.347064,-0.220439,-0.886131,0.213834,-0.201342,-0.136890,-0.311557,0.615247,0.408286,-1.321496
0.460000,0.460000,step,0.668092,0.000000,0.579138,-0.006905,2.557533,0.000006,2.035852,0.751368,0.768897,-0.992286,-7.732740,-0.338241,-0.230359,-0.889359,0.203884,-0.190647,-0.151222,-0.312033,0.632004,0.469752,-1.339280
0.480000,0.480000,step,0.726558,0.000000,0.634616,-0.006707,2.613005,0.000007,2.216643,0.729450,0.766021,-0.991990,-7.740181,-0.328749,-0.240176,-0.892521,0.194027,-0.179073,-0.164593,-0.312508,0.641485,0.531067,-1.352806
0.500000,0.500000,step,0.785400,0.000000,0.690700,-0.006471,2.656837,0.000007,2.399835,0.703122,0.763009,-0.991664,-7.747591,-0.318619,-0.249820,-0.895608,0.184275,-0.166734,-0.176901,-0.312989,0.644259,0.591021,-1.363595
0.520000,0.520000,step,0.844242,0.000000,0.747236,-0.006233,2.689135,0.000008,2.560179,0.676185,0.759870,-0.991321,-7.754973,-0.307882,-0.259242,-0.898616,0.174618,-0.153737,-0.188079,-0.313482,0.640740,0.648400,-1.371490
0.540000,0.540000,step,0.902708,0.000000,0.804066,-0.005996,2.710962,0.000008,2.685190,0.649538,0.756614,-0.990977,-7.762323,-0.296575,-0.268396,-0.901536,0.165043,-0.140194,-0.198095,-0.313983,0.631522,0.702251,-1.377135
0.560000,0.560000,step,0.960426,0.000000,0.861041,-0.005767,2.720295,0.000009,2.749331,0.623965,0.753250,-0.990645,-7.769649,-0.284742,-0.277244,-0.904359,0.155538,-0.126217,-0.206921,-0.314485,0.616885,0.751374,-1.378688
0.580000,0.580000,step,1.017030,0.000000,0.918035,-0.005559,2.715310,0.000009,2.717968,0.601875,0.749789,-0.990339,-7.776958,-0.272432,-0.285756,-0.907074,0.146087,-0.111909,-0.214555,-0.314971,0.597267,0.794754,-1.374328
0.600000,0.600000,step,1.072165,0.000000,0.974890,-0.005374,2.693232,0.000009,2.578084,0.582901,0.746242,-0.990068,-7.784250,-0.259701,-0.293899,-0.909668,0.136686,-0.097398,-0.221005,-0.315423,0.573129,0.831378,-1.361730
0.620000,0.620000,step,1.125493,0.000000,1.031341,-0.005183,2.651132,0.000009,2.351608,0.563548,0.742621,-0.989845,-7.791528,-0.246628,-0.301636,-0.912123,0.127361,-0.082855,-0.226281,-0.315817,0.545126,0.860321,-1.338845
0.640000,0.640000,step,1.176691,0.000000,1.087080,-0.005014,2.583849,0.000009,2.036370,0.546202,0.738941,-0.989679,-7.798799,-0.233309,-0.308933,-0.914421,0.118162,-0.068477,-0.230410,-0.316133,0.513969,0.880470,-1.301756
0.660000,0.660000,step,1.225458,0.000000,1.141491,-0.004825,2.482252,0.000009,1.675337,0.526350,0.735221,-0.989578,-7.806064,-0.219891,-0.315736,-0.916532,0.109216,-0.054573,-0.233416,-0.316350,0.480480,0.890074,-1.244084
0.680000,0.680000,step,1.271521,0.000000,1.193652,-0.004570,2.351882,0.000008,1.357388,0.498545,0.731488,-0.989553,-7.813327,-0.206584,-0.321986,-0.918422,0.100740,-0.041547,-0.235393,-0.316463,0.447055,0.889814,-1.171503
0.700000,0.700000,step,1.314634,0.000000,1.242730,-0.004223,2.205991,0.000008,1.145982,0.460683,0.727769,-0.989605,-7.820598,-0.193583,-0.327664,-0.920069,0.092921,-0.029720,-0.236515,-0.316473,0.416339,0.882263,-1.095075
0.720000,0.720000,step,1.354583,0.000000,1.288530,-0.003865,2.054737,0.000007,0.968902,0.421662,0.724080,-0.989735,-7.827882,-0.180957,-0.332824,-0.921480,0.085777,-0.019056,-0.237017,-0.316380,0.389756,0.870447,-1.020491
0.740000,0.740000,step,1.391191,0.000000,1.330959,-0.003514,1.899661,0.000006,0.806381,0.383323,0.720438,-0.989940,-7.835184,-0.168742,-0.337528,-0.922666,0.079300,-0.009518,-0.237089,-0.316175,0.367572,0.855853,-0.947584
0.760000,0.760000,step,1.424321,0.000000,1.369926,-0.003169,1.740207,0.000005,0.653921,0.345717,0.716854,-0.990216,-7.842506,-0.156966,-0.341840,-0.923638,0.073489,-0.001069,-0.236885,-0.315850,0.349658,0.839284,-0.875107
0.780000,0.780000,step,1.453879,0.000000,1.405335,-0.002832,1.576090,0.000004,0.512418,0.308903,0.713339,-0.990556,-7.849853,-0.145649,-0.345816,-0.924405,0.068353,0.006327,-0.236533,-0.315395,0.335761,0.821320,-0.802323
0.800000,0.800000,step,1.479819,0.000000,1.437097,-0.002503,1.407882,0.000004,0.384881,0.273090,0.709902,-0.990957,-7.857224,-0.134810,-0.349510,-0.924979,0.063899,0.012709,-0.236137,-0.314800,0.325560,0.802505,-0.729329
0.820000,0.820000,step,1.502145,0.000000,1.465148,-0.002187,1.236989,0.000003,0.274537,0.238632,0.706553,-0.991410,-7.864622,-0.124457,-0.352971,-0.925368,0.060132,0.018133,-0.235775,-0.314056,0.318659,0.783366,-0.656948
0.840000,0.840000,step,1.520913,0.000000,1.489463,-0.001883,1.065774,0.000002,0.183972,0.206041,0.703296,-0.991912,-7.872049,-0.114591,-0.356243,-0.925584,0.057044,0.022675,-0.235506,-0.313154,0.314565,0.764373,-0.586489
0.860000,0.860000,step,1.536242,0.000000,1.510081,-0.001592,0.897130,0.000001,0.113285,0.175339,0.700138,-0.992456,-7.879504,-0.105201,-0.359367,-0.925638,0.054613,0.026425,-0.235362,-0.312082,0.312672,0.745702,-0.518668
0.880000,0.880000,step,1.548308,0.000000,1.527094,-0.001319,0.732292,0.000002,0.065791,0.146114,0.697083,-0.993036,-7.886985,-0.096274,-0.362377,-0.925540,0.052813,0.029464,-0.235358,-0.310834,0.312311,0.727097,-0.452866
0.900000,0.900000,step,1.557354,0.000000,1.540629,-0.001070,0.571453,0.000001,0.052065,0.117577,0.694133,-0.993647,-7.894491,-0.087802,-0.365296,-0.925302,0.051619,0.031855,-0.235496,-0.309406,0.312842,0.708098,-0.387835
0.920000,0.920000,step,1.563692,0.000000,1.550815,-0.000826,0.415302,0.000001,0.088504,0.090088,0.691291,-0.994287,-7.902018,-0.079780,-0.368143,-0.924934,0.051008,0.033657,-0.235768,-0.307804,0.313700,0.688376,-0.322876
0.940000,0.940000,step,1.567705,0.000000,1.557892,-0.000599,0.274330,0.000002,0.170712,0.065290,0.688558,-0.994949,-7.909562,-0.072190,-0.370930,-0.924448,0.050939,0.034998,-0.236163,-0.306036,0.314384,0.669367,-0.264626
0.960000,0.960000,step,1.569854,0.000000,1.562311,-0.000423,0.157342,0.000003,0.272720,0.046182,0.685931,-0.995632,-7.917120,-0.064980,-0.373667,-0.923860,0.051315,0.036060,-0.236654,-0.304118,0.314343,0.652204,-0.218643
0.980000,0.980000,step,1.570678,0.000000,1.564643,-0.000299,0.069152,0.000003,0.375628,0.032606,0.683404,-0.996332,-7.924685,-0.058072,-0.376360,-0.923188,0.052001,0.037044,-0.237215,-0.302065,0.313078,0.637375,-0.187902
1.000000,1.000000,step,1.570800,0.000000,1.565534,-0.000211,0.013636,0.000003,0.468353,0.023022,0.680968,-0.997050,-7.932253,-0.051373,-0.379008,-0.922454,0.052842,0.038160,-0.237814,-0.299897,0.310204,0.625305,-0.175094
1.020000,1.020000,step,1.570800,0.000000,1.565886,-0.000151,0.009474,0.000002,0.470540,0.016404,0.678610,-0.997783,-7.939819,-0.044738,-0.381606,-0.921684,0.053603,0.039787,-0.238417,-0.297635,0.305380,0.619011,-0.193988
1.040000,1.040000,step,1.570800,0.000000,1.566206,-0.000107,0.008906,0.000002,0.440225,0.011612,0.676320,-0.998531,-7.947376,-0.038106,-0.384143,-0.920895,0.054169,0.041797,-0.239000,-0.295298,0.298395,0.610229,-0.209911
1.060000,1.060000,step,1.570800,0.000000,1.566515,-0.000075,0.008465,0.000002,0.410403,0.008201,0.674093,-0.999293,-7.954924,-0.031521,-0.386596,-0.920093,0.054569,0.044112,-0.239560,-0.292916,0.289411,0.598882,-0.220797
1.080000,1.080000,step,1.570800,0.000000,1.566816,-0.000053,0.008108,0.000002,0.381239,0.005793,0.671926,-1.000068,-7.962457,-0.025022,-0.388948,-0.919285,0.054839,0.046677,-0.240095,-0.290517,0.278618,0.585396,-0.227058
1.100000,1.100000,step,1.570800,0.000000,1.567108,-0.000038,0.007813,0.000002,0.352744,0.004092,0.669814,-1.000857,-7.969974,-0.018647,-0.391184,-0.918477,0.055012,0.049438,-0.240605,-0.288129,0.266215,0.570135,-0.229147
1.120000,1.120000,step,1.570800,0.000000,1.567393,-0.000027,0.007561,0.000001,0.324895,0.002891,0.667753,-1.001657,-7.977477,-0.012426,-0.393290,-0.917677,0.055116,0.052346,-0.241088,-0.285779,0.252406,0.553412,-0.227522
1.140000,1.140000,step,1.570800,0.000000,1.567670,-0.000019,0.007337,0.000001,0.297667,0.002043,0.665740,-1.002469,-7.984960,-0.006385,-0.395257,-0.916890,0.055181,0.055357,-0.241546,-0.283489,0.237395,0.535497,-0.222626
1.160000,1.160000,step,1.570800,0.000000,1.567941,-0.000013,0.007129,0.000001,0.271048,0.001442,0.663771,-1.003292,-7.992426,-0.000547,-0.397075,-0.916123,0.055229,0.058432,-0.241978,-0.281283,0.221384,0.516628,-0.214878
1.180000,1.180000,step,1.570800,0.000000,1.568205,-0.000009,0.006930,0.000001,0.245078,0.001019,0.661842,-1.004126,-7.999868,0.005068,-0.398738,-0.915383,0.055282,0.061532,-0.242385,-0.279179,0.204569,0.497010,-0.204668
1.200000,1.200000,step,1.570800,0.000000,1.568462,-0.000007,0.006854,0.000001,0.219551,0.000720,0.659949,-1.004971,-8.007294,0.010446,-0.400242,-0.914676,0.055359,0.064626,-0.242769,-0.277196,0.187143,0.476851,-0.192442
1.220000,1.220000,step,1.570800,0.000000,1.568714,-0.000005,0.007055,0.000001,0.194108,0.000508,0.658090,-1.005827,-8.014698,0.015573,-0.401586,-0.914007,0.055476,0.067687,-0.243129,-0.275347,0.169286,0.456340,-0.178634
