t_wall,t_rel,label,q1_cmd,q2_cmd,q1,q2,dq1,dq2,tau1,tau2,px,py,pz,qx,qy,qz,qw,vx,vy,vz,wx,wy,wz
0.000000,0.000000,null,0.000000,0.000000,-0.006776,-0.002554,-0.000024,0.000000,0.677696,0.255426,0.800509,-0.974649,-7.556049,-0.404388,-0.120720,-0.839327,0.342675,-0.246253,0.054830,-0.303727,-0.091049,0.008909,-0.076932
0.020000,0.020000,null,0.000000,0.000000,-0.006776,-0.002554,-0.000024,-0.000000,0.677695,0.255425,0.799839,-0.976089,-7.563788,-0.404532,-0.120238,-0.839736,0.341674,-0.246253,0.054830,-0.303727,-0.091050,0.008910,-0.076930
0.040000,0.040000,null,0.000000,0.000000,-0.006776,-0.002554,-0.000024,-0.000000,0.677695,0.255425,0.799166,-0.977526,-7.571529,-0.404675,-0.119755,-0.840143,0.340672,-0.246254,0.054830,-0.303726,-0.091051,0.008911,-0.076929
0.060000,0.060000,null,0.000000,0.000000,-0.006776,-0.002554,-0.000024,-0.000000,0.677694,0.255425,0.798489,-0.978962,-7.579270,-0.404817,-0.119272,-0.840549,0.339669,-0.246254,0.054830,-0.303726,-0.091052,0.008912,-0.076927
0.080000,0.080000,null,0.000000,0.000000,-0.006776,-0.002554,-0.000024,-0.000000,0.677694,0.255424,0.797809,-0.980396,-7.587010,-0.404959,-0.118790,-0.840953,0.338666,-0.246254,0.054830,-0.303726,-0.091054,0.008912,-0.076925
0.100000,0.100000,null,0.000000,0.000000,-0.006776,-0.002554,-0.000024,-0.000000,0.677693,0.255424,0.797126,-0.981829,-7.594752,-0.405101,-0.118306,-0.841356,0.337663,-0.246254,0.054830,-0.303726,-0.091055,0.008913,-0.076924
0.120000,0.120000,null,0.000000,0.000000,-0.006776,-0.002554,-0.000024,-0.000000,0.677693,0.255424,0.796439,-0.983260,-7.602492,-0.405242,-0.117823,-0.841759,0.336659,-0.246254,0.054830,-0.303726,-0.091056,0.008914,-0.076922
0.140000,0.140000,null,0.000000,0.000000,-0.006776,-0.002554,-0.000024,-0.000000,0.677693,0.255424,0.795749,-0.984690,-7.610232,-0.405382,-0.117340,-0.842160,0.335655,-0.246254,0.054830,-0.303726,-0.091057,0.008914,-0.076921
0.160000,0.160000,null,0.000000,0.000000,-0.006776,-0.002554,-0.000024,0.000000,0.677692,0.255424,0.795055,-0.986117,-7.617974,-0.405522,-0.116856,-0.842559,0.334650,-0.246254,0.054830,-0.303726,-0.091058,0.008915,-0.076920
0.180000,0.180000,null,0.000000,0.000000,-0.006776,-0.002554,-0.000024,-0.000000,0.677692,0.255424,0.794358,-0.987543,-7.625713,-0.405661,-0.116372,-0.842958,0.333645,-0.246254,0.054830,-0.303726,-0.091058,0.008915,-0.076919
0.200000,0.200000,null,0.000000,0.000000,-0.006776,-0.002554,-0.000024,0.000000,0.677692,0.255424,0.793657,-0.988967,-7.633453,-0.405799,-0.115888,-0.843355,0.332640,-0.246254,0.054831,-0.303726,-0.091059,0.008915,-0.076918
0.220000,0.220000,null,0.000000,0.000000,-0.006776,-0.002554,-0.000024,-0.000000,0.677692,0.255424,0.792953,-0.990390,-7.641193,-0.405937,-0.115404,-0.843751,0.331633,-0.246254,0.054831,-0.303726,-0.091060,0.008916,-0.076917
0.240000,0.240000,null,0.000000,0.000000,-0.006776,-0.002554,-0.000024,-0.000000,0.677692,0.255424,0.792246,-0.991810,-7.648934,-0.406075,-0.114919,-0.844146,0.330627,-0.246254,0.054831,-0.303726,-0.091060,0.008916,-0.076916
0.260000,0.260000,null,0.000000,0.000000,-0.006776,-0.002554,-0.000024,0.000000,0.677692,0.255424,0.791535,-0.993230,-7.656674,-0.406211,-0.114435,-0.844540,0.329620,-0.246253,0.054831,-0.303726,-0.091060,0.008916,-0.076916
0.280000,0.280000,null,0.000000,0.000000,-0.006776,-0.002554,-0.000024,-0.000000,0.677692,0.255424,0.790821,-0.994648,-7.664415,-0.406348,-0.113950,-0.844932,0.328613,-0.246253,0.054831,-0.303726,-0.091061,0.008916,-0.076916
0.300000,0.300000,null,0.000000,0.000000,-0.006776,-0.002554,-0.000024,-0.000000,0.677693,0.255424,0.790103,-0.996064,-7.672155,-0.406483,-0.113465,-0.845324,0.327605,-0.246253,0.054832,-0.303726,-0.091061,0.008916,-0.076916
0.320000,0.320000,null,0.000000,0.000000,-0.006776,-0.002554,-0.000024,-0.000000,0.677693,0.255424,0.789383,-0.997478,-7.679897,-0.406618,-0.112980,-0.845714,0.326597,-0.246253,0.054832,-0.303726,-0.091061,0.008916,-0.076916
0.340000,0.340000,null,0.000000,0.000000,-0.006776,-0.002554,-0.000024,-0.000000,0.677694,0.255424,0.788658,-0.998891,-7.687637,-0.406753,-0.112495,-0.846103,0.325588,-0.246253,0.054832,-0.303726,-0.091061,0.008916,-0.076916
0.360000,0.360000,null,0.000000,0.000000,-0.006776,-0.002554,-0.000024,-0.000000,0.677694,0.255425,0.787931,-1.000302,-7.695376,-0.406886,-0.112009,-0.846490,0.324579,-0.246253,0.054832,-0.303726,-0.091061,0.008916,-0.076916
0.380000,0.380000,null,0.000000,0.000000,-0.006776,-0.002554,-0.000024,-0.000000,0.677695,0.255425,0.787200,-1.001711,-7.703116,-0.407020,-0.111524,-0.846877,0.323569,-0.246253,0.054833,-0.303726,-0.091061,0.008916,-0.076917
0.400000,0.400000,null,0.000000,0.000000,-0.006776,-0.002554,-0.000024,-0.000000,0.677696,0.255425,0.786466,-1.003118,-7.710858,-0.407152,-0.111038,-0.847262,0.322559,-0.246253,0.054833,-0.303726,-0.091060,0.008916,-0.076918
0.420000,0.420000,null,0.000000,0.000000,-0.006776,-0.002554,-0.000024,-0.000000,0.677696,0.255426,0.785728,-1.004523,-7.718597,-0.407285,-0.110552,-0.847646,0.321548,-0.246253,0.054833,-0.303726,-0.091060,0.008915,-0.076919
0.440000,0.440000,null,0.000000,0.000000,-0.006776,-0.002554,-0.000024,-0.000000,0.677697,0.255426,0.784987,-1.005927,-7.726338,-0.407416,-0.110066,-0.848029,0.320537,-0.246253,0.054833,-0.303726,-0.091059,0.008915,-0.076920
0.460000,0.460000,null,0.000000,0.000000,-0.006776,-0.002554,-0.000024,-0.000000,0.677697,0.255426,0.784243,-1.007329,-7.734076,-0.407547,-0.109580,-0.848411,0.319526,-0.246253,0.054834,-0.303726,-0.091059,0.008915,-0.076921
0.480000,0.480000,null,0.000000,0.000000,-0.006776,-0.002554,-0.000024,-0.000000,0.677698,0.255426,0.783495,-1.008729,-7.741819,-0.407678,-0.109094,-0.848791,0.318514,-0.246253,0.054834,-0.303726,-0.091058,0.008914,-0.076922
0.500000,0.500000,null,0.000000,0.000000,-0.006776,-0.002554,-0.000024,-0.000000,0.677699,0.255427,0.782744,-1.010127,-7.749557,-0.407807,-0.108607,-0.849171,0.317501,-0.246253,0.054834,-0.303726,-0.091057,0.008914,-0.076924
0.520000,0.520000,null,0.000000,0.000000,-0.006776,-0.002554,-0.000024,-0.000000,0.677700,0.255427,0.781990,-1.011524,-7.757298,-0.407937,-0.108121,-0.849548,0.316488,-0.246253,0.054834,-0.303726,-0.091056,0.008914,-0.076925
0.540000,0.540000,null,0.000000,0.000000,-0.006776,-0.002554,-0.000024,-0.000000,0.677700,0.255427,0.781232,-1.012919,-7.765037,-0.408065,-0.107634,-0.849925,0.315475,-0.246253,0.054835,-0.303726,-0.091056,0.008913,-0.076927
0.560000,0.560000,null,0.000000,0.000000,-0.006776,-0.002554,-0.000024,0.000000,0.677700,0.255428,0.780471,-1.014312,-7.772779,-0.408193,-0.107147,-0.850301,0.314461,-0.246253,0.054835,-0.303726,-0.091055,0.008913,-0.076928
0.580000,0.580000,null,0.000000,0.000000,-0.006776,-0.002554,-0.000024,0.000000,0.677701,0.255428,0.779707,-1.015703,-7.780519,-0.408321,-0.106660,-0.850675,0.313447,-0.246253,0.054835,-0.303726,-0.091054,0.008913,-0.076930
0.600000,0.600000,null,0.000000,0.000000,-0.006776,-0.002554,-0.000024,-0.000000,0.677702,0.255428,0.778940,-1.017092,-7.788260,-0.408448,-0.106173,-0.851049,0.312432,-0.246253,0.054835,-0.303726,-0.091053,0.008912,-0.076931
0.620000,0.620000,null,0.000000,0.000000,-0.006776,-0.002554,-0.000024,0.000000,0.677702,0.255428,0.778169,-1.018480,-7.796001,-0.408574,-0.105686,-0.851421,0.311417,-0.246253,0.054835,-0.303726,-0.091052,0.008912,-0.076933
0.640000,0.640000,null,0.000000,0.000000,-0.006776,-0.002554,-0.000024,0.000000,0.677703,0.255429,0.777395,-1.019865,-7.803741,-0.408700,-0.105198,-0.851792,0.310401,-0.246253,0.054835,-0.303726,-0.091052,0.008912,-0.076934
